Geography,SUPPRESSION_FLAG,HOUSEHOLDS,PERSONS
C 35 00,RELEASE,21,60
C 35 01,SUPPRESS,9,0
C 36 00,RELEASE,112,266
C 36 01,RELEASE,194,438
C 36 03,SUPPRESS,5,0
C 36 04,SUPPRESS,3,0
C 36 05,SUPPRESS,8,0
C 36 06,SUPPRESS,2,0
C 36 07,RELEASE,21,63
C 36 08,RELEASE,13,48
C 36 09,RELEASE,18,38
C 37 00,RELEASE,24,58
C 37 01,RELEASE,102,268
C 37 02,RELEASE,23,64
C 37 03,RELEASE,27,63
C 37 04,RELEASE,38,104
C 37 05,RELEASE,18,48
C 37 06,RELEASE,21,54
C 37 07,RELEASE,59,160
C 37 08,SUPPRESS,9,0
C 37 09,SUPPRESS,8,0
C 37 10,SUPPRESS,2,0
C 38 00,RELEASE,25,58
C 38 01,RELEASE,249,598
C 38 02,RELEASE,19,58
C 38 03,RELEASE,21,55
C 38 04,RELEASE,16,47
C 38 05,SUPPRESS,7,0
C 38 06,SUPPRESS,7,0
C 38 07,SUPPRESS,2,0
C 38 08,SUPPRESS,7,0
C 38 09,RELEASE,18,51
C 38 10,SUPPRESS,3,0
C 38 12,SUPPRESS,6,0
C 38 13,SUPPRESS,7,0
C 38 14,RELEASE,61,205
C 38 15,SUPPRESS,3,0
C 38 16,SUPPRESS,1,0
C 39 00,SUPPRESS,1,0
C 39 01,RELEASE,22,53
C 39 02,SUPPRESS,4,0
C 39 03,SUPPRESS,8,0
C 39 04,RELEASE,39,90
C 39 05,RELEASE,57,168
C 39 06,RELEASE,14,35
C 39 07,SUPPRESS,1,0
C 39 09,SUPPRESS,10,0
C 39 10,RELEASE,255,575
C 39 12,SUPPRESS,5,0
C 39 13,RELEASE,15,35
C 39 14,RELEASE,14,39
C 39 15,SUPPRESS,7,0
C 39 16,SUPPRESS,4,0
C 39 17,SUPPRESS,3,0
C 39 18,SUPPRESS,1,0
C 39 19,SUPPRESS,3,0
C 39 20,SUPPRESS,1,0
C 40 00,SUPPRESS,7,0
C 40 01,RELEASE,14,36
C 40 02,RELEASE,11,32
C 40 03,RELEASE,14,36
C 40 04,RELEASE,13,34
C 40 05,SUPPRESS,11,0
C 40 06,SUPPRESS,10,0
C 40 07,RELEASE,41,116
C 40 08,SUPPRESS,12,0
C 40 09,SUPPRESS,5,0
C 40 10,RELEASE,13,33
C 40 11,SUPPRESS,8,0
C 40 12,RELEASE,20,50
C 40 13,SUPPRESS,7,0
C 40 14,RELEASE,101,281
C 40 15,SUPPRESS,9,0
C 40 16,SUPPRESS,2,0
C 40 17,RELEASE,17,36
C 40 18,RELEASE,29,71
C 40 20,RELEASE,82,218
C 41 00,SUPPRESS,10,0
C 41 01,RELEASE,13,37
C 41 02,RELEASE,17,45
C 41 03,RELEASE,11,32
C 41 04,RELEASE,10,31
C 41 05,RELEASE,14,37
C 41 06,RELEASE,14,36
C 41 07,SUPPRESS,7,0
C 41 08,SUPPRESS,9,0
C 41 09,RELEASE,22,59
C 41 10,SUPPRESS,9,0
C 41 11,RELEASE,247,615
C 41 12,RELEASE,738,1866
C 41 13,RELEASE,115,319
C 41 14,RELEASE,82,207
C 41 15,RELEASE,299,723
C 41 16,RELEASE,1339,3473
C 41 17,RELEASE,139,305
C 41 18,RELEASE,1529,4182
C 41 19,RELEASE,910,2316
C 41 20,RELEASE,255,662
C 41 21,RELEASE,29,63
C 41 22,SUPPRESS,5,0
C 42 00,SUPPRESS,4,0
C 42 01,SUPPRESS,9,0
C 42 02,RELEASE,13,35
C 42 03,SUPPRESS,5,0
C 42 04,SUPPRESS,9,0
C 42 05,SUPPRESS,8,0
C 42 08,SUPPRESS,10,0
C 42 09,RELEASE,14,43
C 42 10,SUPPRESS,4,0
C 42 11,SUPPRESS,3,0
C 42 12,SUPPRESS,8,0
C 42 13,SUPPRESS,7,0
C 42 14,RELEASE,304,770
C 42 15,RELEASE,592,1248
C 42 16,RELEASE,1715,3895
C 42 17,RELEASE,1660,3885
C 42 18,RELEASE,1276,3239
C 42 19,RELEASE,584,1396
C 42 20,RELEASE,1476,3924
C 42 21,RELEASE,542,1406
C 42 22,SUPPRESS,1,0
C 43 00,SUPPRESS,6,0
C 43 01,RELEASE,16,48
C 43 02,RELEASE,16,44
C 43 03,SUPPRESS,4,0
C 43 04,SUPPRESS,7,0
C 43 05,RELEASE,16,38
C 43 06,SUPPRESS,2,0
C 43 08,SUPPRESS,4,0
C 43 09,SUPPRESS,4,0
C 43 10,RELEASE,19,63
C 43 11,SUPPRESS,5,0
C 43 12,SUPPRESS,5,0
C 43 13,SUPPRESS,3,0
C 43 14,RELEASE,11,31
C 43 15,RELEASE,811,2229
C 43 16,RELEASE,1725,2960
C 43 17,RELEASE,1340,2388
C 43 18,RELEASE,1038,2322
C 43 19,RELEASE,1346,3174
C 43 20,RELEASE,1539,3776
C 43 21,RELEASE,755,2085
C 44 00,RELEASE,16,39
C 44 01,SUPPRESS,12,0
C 44 02,RELEASE,119,300
C 44 03,RELEASE,171,417
C 44 04,SUPPRESS,8,0
C 44 05,SUPPRESS,4,0
C 44 06,RELEASE,17,40
C 44 07,SUPPRESS,1,0
C 44 10,SUPPRESS,4,0
C 44 11,SUPPRESS,10,0
C 44 12,SUPPRESS,6,0
C 44 13,SUPPRESS,8,0
C 44 14,RELEASE,355,1081
C 44 15,RELEASE,1190,2674
C 44 16,RELEASE,2133,4364
C 44 17,RELEASE,363,816
C 44 18,RELEASE,100,182
C 44 19,RELEASE,800,2089
C 44 20,RELEASE,1481,3963
C 44 21,RELEASE,380,1004
C 44 22,SUPPRESS,1,0
C 45 00,SUPPRESS,12,0
C 45 01,RELEASE,36,86
C 45 02,SUPPRESS,5,0
C 45 03,SUPPRESS,1,0
C 45 04,SUPPRESS,12,0
C 45 05,SUPPRESS,6,0
C 45 06,RELEASE,14,33
C 45 07,SUPPRESS,8,0
C 45 08,SUPPRESS,1,0
C 45 09,SUPPRESS,4,0
C 45 10,SUPPRESS,3,0
C 45 12,SUPPRESS,4,0
C 45 13,RELEASE,78,149
C 45 14,RELEASE,1086,2903
C 45 15,RELEASE,718,1942
C 45 16,RELEASE,1679,3783
C 45 17,RELEASE,1187,2671
C 45 18,RELEASE,167,438
C 45 20,RELEASE,149,424
C 45 21,RELEASE,21,62
C 45 22,RELEASE,57,180
C 46 00,SUPPRESS,12,0
C 46 01,SUPPRESS,1,0
C 46 02,SUPPRESS,8,0
C 46 03,SUPPRESS,8,0
C 46 04,SUPPRESS,7,0
C 46 05,SUPPRESS,3,0
C 46 06,RELEASE,16,37
C 46 07,SUPPRESS,2,0
C 46 09,SUPPRESS,8,0
C 46 10,RELEASE,19,70
C 46 11,RELEASE,10,33
C 46 12,RELEASE,19,45
C 46 13,RELEASE,18,40
C 46 14,RELEASE,345,744
C 46 15,RELEASE,330,841
C 46 16,RELEASE,568,1473
